"","day_num","max_temp_standardised","num_collisions"
"2897","7",0.597049372633941,464
"2898","3",1.04992938521221,621
"2899","6",0.938107159884243,532
"2903","7",0.938107159884243,535
"2904","4",1.55312939918807,822
"2905","2",0.378996033244403,521
"2906","4",0.434907145908387,516
"2907","6",0.485227147305973,488
"2908","3",1.22325383447056,600
"2909","5",1.22325383447056,647
"2910","7",0.831876045822673,421
"2911","5",1.4413071738601,715
"2912","1",0.434907145908387,570
"2913","6",0.546729371236355,594
"2914","4",0.831876045822673,632
"2916","1",0.485227147305973,623
"2917","5",0.328676031846817,553
"2918","2",0.485227147305973,659
"2919","1",0.0547115797932954,562
"2920","2",0.770373821892291,589
"2922","3",0.831876045822673,501
"2923","6",1.4413071738601,598
"2924","1",1.49162717525769,485
"2926","4",0.267173807916435,605
"2927","3",1.22325383447056,696
"2929","2",1.1002493866098,707
"2930","2",0.457271590973981,715
"2931","6",0.770373821892291,546
"2932","2",1.49162717525769,700
"2934","1",0.216853806518849,661
"2936","5",0.378996033244403,712
"2937","4",0.988427161281829,645
"2939","2",1.776773849844,795
"2940","2",0.434907145908387,615
"2941","6",1.4413071738601,553
"2942","3",0.328676031846817,566
"2943","4",0.378996033244403,790
"2946","7",0.155351582588467,449
"2947","3",1.72645384844642,576
"2949","5",0.882196047220259,681
"2951","6",0.155351582588467,485
"2952","3",1.776773849844,740
"2953","4",0.938107159884243,672
"2954","4",1.27357383586815,689
"2955","5",0.720053820494705,688
"2956","4",0.988427161281829,619
"2960","2",1.22325383447056,629
"2961","7",1.4413071738601,477
"2962","5",1.22325383447056,652
"2963","6",0.155351582588467,550
"2965","6",0.328676031846817,608
"2966","5",0.831876045822673,525
"2967","5",0.988427161281829,730
"2968","6",0.485227147305973,562
"2970","1",0.988427161281829,648
"2974","4",0.938107159884243,493
"2975","3",0.597049372633941,404
"2977","3",1.4413071738601,779
"2978","5",0.658551596564323,643
"2979","6",0.328676031846817,562
"2980","4",1.22325383447056,628
"2981","6",0.434907145908387,547
"2982","6",1.1002493866098,541
"2983","1",0.720053820494705,603
"2984","3",0.938107159884243,604
"2985","4",0.831876045822673,535
"2987","7",0.938107159884243,488
"2988","7",0.988427161281829,500
"2989","1",0.770373821892291,373
"2990","1",0.831876045822673,532
"2991","4",1.16175161054018,695
"2992","4",1.22325383447056,740
"2993","4",0.155351582588467,522
"2995","3",0.597049372633941,605
"2997","3",1.49162717525769,580
"2998","3",1.27357383586815,624
"2999","7",0.658551596564323,585
"3000","5",0.882196047220259,697
"3001","1",1.33507605979853,639
"3002","1",0.882196047220259,672
"3003","6",1.38539606119612,515
"3004","2",0.770373821892291,606
"3005","6",0.658551596564323,519
"3006","5",0.557911593769152,671
"3007","5",0.434907145908387,654
"3009","6",1.22325383447056,612
"3011","4",1.38539606119612,716
"3012","7",0.378996033244403,493
"3013","7",0.216853806518849,518
"3015","1",0.988427161281829,632
"3016","2",0.378996033244403,594
"3018","7",0.882196047220259,473
"3019","5",1.55312939918807,643
"3020","7",0.378996033244403,533
"3021","4",0.434907145908387,757
"3023","6",0.546729371236355,568
"3025","1",0.155351582588467,594
"3026","5",0.216853806518849,703
"3027","6",0.378996033244403,557
"3028","7",1.38539606119612,538
"3029","6",0.546729371236355,489
"3030","2",0.658551596564323,635
"3031","6",0.720053820494705,558
"3032","6",1.22325383447056,631
"3034","7",0.328676031846817,556
"3035","6",0.597049372633941,557
"3037","7",0.831876045822673,478
"3038","1",0.546729371236355,662
"3040","3",0.988427161281829,634
"3042","3",0.831876045822673,601
"3044","2",0.434907145908387,627
"3046","2",0.557911593769152,556
"3047","5",0.938107159884243,585
"3048","3",0.720053820494705,618
"3049","5",0.882196047220259,765
"3051","6",0.597049372633941,547
"3054","1",0.328676031846817,637
"3056","3",0.485227147305973,637
"3057","1",-0.124203980731454,650
"3058","6",0.882196047220259,598
"3062","6",0.882196047220259,498
"3063","1",1.04992938521221,419
"3064","7",0.831876045822673,466
"3065","2",1.33507605979853,628
"3066","5",0.938107159884243,614
"3069","1",0.882196047220259,598
"3070","1",0.831876045822673,435
"3073","5",0.485227147305973,591
"3074","7",0.988427161281829,556
"3075","1",0.831876045822673,579
"3076","3",0.434907145908387,612
"3077","7",0.378996033244403,480
"3078","2",0.434907145908387,571
"3079","5",0.882196047220259,687
"3080","5",0.597049372633941,648
"3082","3",0.770373821892291,583
"3085","3",1.1002493866098,648
"3086","2",0.546729371236355,592
"3088","1",0.770373821892291,624
"3089","4",0.0435293572604984,491
"3091","2",0.720053820494705,661
"3093","2",1.04992938521221,626
"3094","4",0.216853806518849,624
"3098","3",-0.124203980731454,719
"3100","1",-0.521172880645741,696
"3101","3",-0.0682928680674697,646
"3102","3",-0.236026206059422,699
"3103","4",-0.236026206059422,735
"3104","6",-0.174523982129039,629
"3106","2",-0.521172880645741,721
"3107","7",-0.739226220035278,556
"3108","7",-0.174523982129039,593
"3109","1",-0.789546221432864,650
